ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
form-303,pemo1248,small,siʔrəʔkə,,,garcia2006diccionario
form-304,tupi1276,small,mirĩ,,,mello2000ptg
form-305,tupi1273,59,epɨ,,,rodrigues1985evidence
form-306,tupa1250,59,epei,,,rodrigues1985evidence
form-307,waiw1244,59,eɸe,,,rodrigues1985evidence
form-308,pemo1248,59,epe-pɨ,,,rodrigues1985evidence
form-309,hixk1239,59,ehe-thɨrɨ,,,rodrigues1985evidence
form-310,hixk1239,59,ehe-ma,,,rodrigues1985evidence
form-311,waya1269,59,epe-ma,,,rodrigues1985evidence
form-312,baka1277,59,epɨ,,,rodrigues1985evidence
form-313,baka1277,59,epɨ-wa,,,rodrigues1985evidence
form-314,cari1283,payment,epe,,,
form-315,tupi1273,72,(j)ar,,,rodrigues1985evidence
form-316,tupa1250,72,at,,,rodrigues1985evidence
form-317,mund1330,72,d͡ʒat,,,rodrigues1985evidence
form-318,waiw1244,72,a-rɨ,,,rodrigues1985evidence
form-319,hixk1239,72,a,,,rodrigues1985evidence
form-320,pemo1248,72,a-lɨ,,,rodrigues1985evidence
form-321,gali1262,72,a-ro,,,rodrigues1985evidence
form-322,baka1277,72,a,,,rodrigues1985evidence
form-323,cari1283,take,arə,,,
tup-fence,tupi1273,88,man,,,rodrigues1985evidence
tupa-roll,tupa1250,88,ma-,,,rodrigues1985evidence
form-326,waiw1244,88,ma,,,rodrigues1985evidence
form-327,hixk1239,88,man-ho,,,rodrigues1985evidence
form-328,hixk1239,88,mam-ko,,,rodrigues1985evidence
form-329,hixk1239,88,mamu,,,rodrigues1985evidence
form-330,pemo1248,88,man-um,,,rodrigues1985evidence
form-331,cari1283,dance,manumɨ,,,
form-332,waiw1245,wall,mamu,,,
form-333,tupa1250,90,om,,,rodrigues1985evidence
form-334,mund1330,90,ɨ̃m,,,rodrigues1985evidence
form-335,waiw1244,90,ɨm,,,rodrigues1985evidence
form-336,hixk1239,90,ɨm,,,rodrigues1985evidence
form-337,apal1257,90,um,,,rodrigues1985evidence
form-338,baka1277,90,u,,,rodrigues1985evidence
form-339,paru1239,give,ɨmɨ,,,
form-340,cari1283,give,utu,,,gildea2007greenberg
form-341,tupi1273,91,paβ,,,rodrigues1985evidence
form-342,tupa1250,91,pap,,,rodrigues1985evidence
form-343,mund1330,91,apam,,,rodrigues1985evidence
form-344,hixk1239,91,wah,,,rodrigues1985evidence
pem-die,pemo1248,91,paʔ-nese,,,rodrigues1985evidence
form-346,paru1239,die,wajiɸɨ,,,meiraDBcomp
form-347,tupi1276,end,pap,,,meiraetal2015summary
form-348,mawe1252,die,pap,,,meiraetal2015summary
form-349,tupi1273,93,pak,,,rodrigues1985evidence
form-350,tupi1273,93,mo-pak,,,rodrigues1985evidence
form-351,tupa1250,93,e-pak,,,rodrigues1985evidence
form-352,waiw1244,93,ɸaka,,,rodrigues1985evidence
form-353,pemo1248,93,paka-,,,rodrigues1985evidence
form-354,hixk1239,93,haka,,,rodrigues1985evidence
form-355,hixk1239,93,om-paka,,,rodrigues1985evidence
form-356,cari1283,wake,paka,,,
form-357,tupi1276,wake,pak,,,mello2000ptg
form-358,tupi1273,96,por,,,rodrigues1985evidence
form-359,tupa1250,96,pot-ʔeki,,,rodrigues1985evidence
form-360,tupa1250,96,õ-pot,,,rodrigues1985evidence
form-361,waiw1244,96,ahro,,,rodrigues1985evidence
form-362,pemo1248,96,apurumɨ,,,swiggers2010gramatica
